POSITION,CLUB,MATCHES_PLAYED,WIN,DRAW,LOSS,GOALS_FOR,GOALS_AGAINST,GOAL_DIFFERENCE,POINTS
1,Liverpool,13,8,5,0,30,12,18,29
2,Man United,11,8,2,1,26,15,11,26
3,Everton,12,8,1,3,19,12,7,25
4,Aston Villa,13,7,2,4,19,10,9,23
5,Leeds,12,7,1,4,26,18,8,22
6,Leicester,12,6,2,4,18,13,5,20
7,West Ham,13,5,4,4,18,17,1,19
8,Wolves,13,5,3,5,13,14,-1,18
9,Chelsea,13,4,5,4,20,16,4,17
10,Burnley,11,4,2,5,7,11,-4,14
11,Southampton,11,3,5,3,15,14,1,14
12,Tottenham,11,3,5,3,14,13,1,14
13,Arsenal,12,4,2,6,13,15,-2,14
14,Crystal Palace,13,3,4,6,11,23,-12,13
15,Newcastle,11,3,4,4,12,18,-6,13
16,Brighton & Hove Albion,12,2,6,4,14,17,-3,12
17,Fulham,11,1,5,5,11,19,-8,8
18,West Brom,12,1,4,7,9,25,-16,7
19,Sheffield United,12,0,2,10,5,18,-13,2
